image_id,domain,split,image_path
n02381460_125,A (Horse),train,trainA/n02381460_125.jpg
n02381460_1258,A (Horse),train,trainA/n02381460_1258.jpg
n02381460_1260,B (Zebra),test,testB/n02381460_1260.jpg
n02381460_1262,A (Horse),train,trainA/n02381460_1262.jpg
n02381460_1263,A (Horse),train,trainA/n02381460_1263.jpg
n02381460_1266,A (Horse),train,trainA/n02381460_1266.jpg
n02381460_1267,A (Horse),train,trainA/n02381460_1267.jpg
n02381460_1276,A (Horse),train,trainA/n02381460_1276.jpg
n02381460_128,A (Horse),train,trainA/n02381460_128.jpg
n02381460_1283,A (Horse),train,trainA/n02381460_1283.jpg
n02381460_1288,A (Horse),train,trainA/n02381460_1288.jpg
n02381460_1292,A (Horse),train,trainA/n02381460_1292.jpg
n02381460_1297,A (Horse),train,trainA/n02381460_1297.jpg
n02381460_1300,B (Zebra),test,testB/n02381460_1300.jpg
n02381460_1305,A (Horse),train,trainA/n02381460_1305.jpg
n02381460_1307,A (Horse),train,trainA/n02381460_1307.jpg
n02381460_1319,A (Horse),train,trainA/n02381460_1319.jpg
n02381460_1331,A (Horse),train,trainA/n02381460_1331.jpg
n02381460_1334,A (Horse),train,trainA/n02381460_1334.jpg
n02381460_1336,A (Horse),train,trainA/n02381460_1336.jpg
n02381460_1337,A (Horse),train,trainA/n02381460_1337.jpg
n02381460_1338,A (Horse),train,trainA/n02381460_1338.jpg
n02381460_1347,A (Horse),train,trainA/n02381460_1347.jpg
n02381460_1348,A (Horse),train,trainA/n02381460_1348.jpg
n02381460_1349,A (Horse),train,trainA/n02381460_1349.jpg
n02381460_135,A (Horse),train,trainA/n02381460_135.jpg
n02381460_1350,B (Zebra),test,testB/n02381460_1350.jpg
n02381460_1354,A (Horse),train,trainA/n02381460_1354.jpg
n02381460_1360,B (Zebra),test,testB/n02381460_1360.jpg
n02381460_1361,A (Horse),train,trainA/n02381460_1361.jpg
n02381460_1363,A (Horse),train,trainA/n02381460_1363.jpg
n02381460_1365,A (Horse),train,trainA/n02381460_1365.jpg
n02381460_1373,A (Horse),train,trainA/n02381460_1373.jpg
n02381460_1384,A (Horse),train,trainA/n02381460_1384.jpg
n02381460_1387,A (Horse),train,trainA/n02381460_1387.jpg
n02381460_1388,A (Horse),train,trainA/n02381460_1388.jpg
n02381460_1389,A (Horse),train,trainA/n02381460_1389.jpg
n02381460_1391,A (Horse),train,trainA/n02381460_1391.jpg
n02381460_14,A (Horse),train,trainA/n02381460_14.jpg
n02381460_140,B (Zebra),test,testB/n02381460_140.jpg
n02381460_1402,A (Horse),train,trainA/n02381460_1402.jpg
n02381460_1405,A (Horse),train,trainA/n02381460_1405.jpg
n02381460_1418,A (Horse),train,trainA/n02381460_1418.jpg
n02381460_1420,B (Zebra),test,testB/n02381460_1420.jpg
n02381460_1422,A (Horse),train,trainA/n02381460_1422.jpg
n02381460_1423,A (Horse),train,trainA/n02381460_1423.jpg
n02381460_1425,A (Horse),train,trainA/n02381460_1425.jpg
n02381460_1426,A (Horse),train,trainA/n02381460_1426.jpg
n02381460_1427,A (Horse),train,trainA/n02381460_1427.jpg
n02381460_1432,A (Horse),train,trainA/n02381460_1432.jpg
n02381460_1435,A (Horse),train,trainA/n02381460_1435.jpg
n02381460_1439,A (Horse),train,trainA/n02381460_1439.jpg
n02381460_1458,A (Horse),train,trainA/n02381460_1458.jpg
n02381460_1478,A (Horse),train,trainA/n02381460_1478.jpg
n02381460_1482,A (Horse),train,trainA/n02381460_1482.jpg
n02381460_1484,A (Horse),train,trainA/n02381460_1484.jpg
n02381460_1486,A (Horse),train,trainA/n02381460_1486.jpg
n02381460_1487,A (Horse),train,trainA/n02381460_1487.jpg
n02381460_1489,A (Horse),train,trainA/n02381460_1489.jpg
n02381460_1493,A (Horse),train,trainA/n02381460_1493.jpg
n02381460_1494,A (Horse),train,trainA/n02381460_1494.jpg
n02381460_1498,A (Horse),train,trainA/n02381460_1498.jpg
n02381460_1501,A (Horse),train,trainA/n02381460_1501.jpg
n02381460_1506,A (Horse),train,trainA/n02381460_1506.jpg
n02381460_1507,A (Horse),train,trainA/n02381460_1507.jpg
n02381460_1509,A (Horse),train,trainA/n02381460_1509.jpg
n02381460_1519,A (Horse),train,trainA/n02381460_1519.jpg
n02381460_1521,A (Horse),train,trainA/n02381460_1521.jpg
n02381460_1523,A (Horse),train,trainA/n02381460_1523.jpg
n02381460_1524,A (Horse),train,trainA/n02381460_1524.jpg
n02381460_1525,A (Horse),train,trainA/n02381460_1525.jpg
n02381460_1526,A (Horse),train,trainA/n02381460_1526.jpg
n02381460_153,A (Horse),train,trainA/n02381460_153.jpg
n02381460_1531,A (Horse),train,trainA/n02381460_1531.jpg
n02381460_1533,A (Horse),train,trainA/n02381460_1533.jpg
n02381460_1537,A (Horse),train,trainA/n02381460_1537.jpg
n02381460_1540,B (Zebra),test,testB/n02381460_1540.jpg
n02381460_155,A (Horse),train,trainA/n02381460_155.jpg
n02381460_1557,A (Horse),train,trainA/n02381460_1557.jpg
n02381460_1562,A (Horse),train,trainA/n02381460_1562.jpg
n02381460_1563,A (Horse),train,trainA/n02381460_1563.jpg
n02381460_1567,A (Horse),train,trainA/n02381460_1567.jpg
n02381460_1573,A (Horse),train,trainA/n02381460_1573.jpg
n02381460_1578,A (Horse),train,trainA/n02381460_1578.jpg
n02381460_1579,A (Horse),train,trainA/n02381460_1579.jpg
n02381460_1581,A (Horse),train,trainA/n02381460_1581.jpg
n02381460_1583,A (Horse),train,trainA/n02381460_1583.jpg
n02381460_1586,A (Horse),train,trainA/n02381460_1586.jpg
n02381460_1592,A (Horse),train,trainA/n02381460_1592.jpg
n02381460_1596,A (Horse),train,trainA/n02381460_1596.jpg
n02381460_1602,A (Horse),train,trainA/n02381460_1602.jpg
n02381460_1612,A (Horse),train,trainA/n02381460_1612.jpg
n02381460_1614,A (Horse),train,trainA/n02381460_1614.jpg
n02381460_1620,B (Zebra),test,testB/n02381460_1620.jpg
n02381460_1621,A (Horse),train,trainA/n02381460_1621.jpg
n02381460_1624,A (Horse),train,trainA/n02381460_1624.jpg
n02381460_1630,B (Zebra),test,testB/n02381460_1630.jpg
n02381460_1635,A (Horse),train,trainA/n02381460_1635.jpg
n02381460_1637,A (Horse),train,trainA/n02381460_1637.jpg
n02381460_1639,A (Horse),train,trainA/n02381460_1639.jpg
n02381460_1645,A (Horse),train,trainA/n02381460_1645.jpg
n02381460_1648,A (Horse),train,trainA/n02381460_1648.jpg
n02381460_1651,A (Horse),train,trainA/n02381460_1651.jpg
n02381460_1658,A (Horse),train,trainA/n02381460_1658.jpg
n02381460_1660,B (Zebra),test,testB/n02381460_1660.jpg
n02381460_1665,A (Horse),train,trainA/n02381460_1665.jpg
n02381460_1666,A (Horse),train,trainA/n02381460_1666.jpg
n02381460_1672,A (Horse),train,trainA/n02381460_1672.jpg
n02381460_1674,A (Horse),train,trainA/n02381460_1674.jpg
n02381460_1675,A (Horse),train,trainA/n02381460_1675.jpg
n02381460_1682,A (Horse),train,trainA/n02381460_1682.jpg
n02381460_1683,A (Horse),train,trainA/n02381460_1683.jpg
n02381460_1686,A (Horse),train,trainA/n02381460_1686.jpg
n02381460_1687,A (Horse),train,trainA/n02381460_1687.jpg
n02381460_1690,B (Zebra),test,testB/n02381460_1690.jpg
n02381460_1696,A (Horse),train,trainA/n02381460_1696.jpg
n02381460_1703,A (Horse),train,trainA/n02381460_1703.jpg
n02381460_1708,A (Horse),train,trainA/n02381460_1708.jpg
n02381460_1711,A (Horse),train,trainA/n02381460_1711.jpg
n02381460_1713,A (Horse),train,trainA/n02381460_1713.jpg
n02381460_1721,A (Horse),train,trainA/n02381460_1721.jpg
n02381460_1722,A (Horse),train,trainA/n02381460_1722.jpg
n02381460_1727,A (Horse),train,trainA/n02381460_1727.jpg
n02381460_1734,A (Horse),train,trainA/n02381460_1734.jpg
n02381460_1736,A (Horse),train,trainA/n02381460_1736.jpg
n02381460_1740,B (Zebra),test,testB/n02381460_1740.jpg
n02381460_1743,A (Horse),train,trainA/n02381460_1743.jpg
n02381460_175,A (Horse),train,trainA/n02381460_175.jpg
n02381460_1750,B (Zebra),test,testB/n02381460_1750.jpg
n02381460_1751,A (Horse),train,trainA/n02381460_1751.jpg
n02381460_1758,A (Horse),train,trainA/n02381460_1758.jpg
n02381460_1761,A (Horse),train,trainA/n02381460_1761.jpg
n02381460_1763,A (Horse),train,trainA/n02381460_1763.jpg
n02381460_1766,A (Horse),train,trainA/n02381460_1766.jpg
n02381460_1769,A (Horse),train,trainA/n02381460_1769.jpg
n02381460_177,A (Horse),train,trainA/n02381460_177.jpg
n02381460_1774,A (Horse),train,trainA/n02381460_1774.jpg
n02381460_178,A (Horse),train,trainA/n02381460_178.jpg
n02381460_1793,A (Horse),train,trainA/n02381460_1793.jpg
n02381460_1796,A (Horse),train,trainA/n02381460_1796.jpg
n02381460_1798,A (Horse),train,trainA/n02381460_1798.jpg
n02381460_180,B (Zebra),test,testB/n02381460_180.jpg
n02381460_1801,A (Horse),train,trainA/n02381460_1801.jpg
n02381460_1803,A (Horse),train,trainA/n02381460_1803.jpg
n02381460_1804,A (Horse),train,trainA/n02381460_1804.jpg
n02381460_1813,A (Horse),train,trainA/n02381460_1813.jpg
n02381460_1816,A (Horse),train,trainA/n02381460_1816.jpg
n02381460_182,A (Horse),train,trainA/n02381460_182.jpg
n02381460_1820,B (Zebra),test,testB/n02381460_1820.jpg
n02381460_1830,B (Zebra),test,testB/n02381460_1830.jpg
n02381460_1834,A (Horse),train,trainA/n02381460_1834.jpg
n02381460_1835,A (Horse),train,trainA/n02381460_1835.jpg
n02381460_1847,A (Horse),train,trainA/n02381460_1847.jpg
n02381460_1852,A (Horse),train,trainA/n02381460_1852.jpg
n02381460_1855,A (Horse),train,trainA/n02381460_1855.jpg
n02381460_1856,A (Horse),train,trainA/n02381460_1856.jpg
n02381460_186,A (Horse),train,trainA/n02381460_186.jpg
n02381460_1862,A (Horse),train,trainA/n02381460_1862.jpg
n02381460_1865,A (Horse),train,trainA/n02381460_1865.jpg
n02381460_1870,B (Zebra),test,testB/n02381460_1870.jpg
n02381460_1872,A (Horse),train,trainA/n02381460_1872.jpg
n02381460_1874,A (Horse),train,trainA/n02381460_1874.jpg
n02381460_1888,A (Horse),train,trainA/n02381460_1888.jpg
n02381460_19,A (Horse),train,trainA/n02381460_19.jpg
n02381460_1901,A (Horse),train,trainA/n02381460_1901.jpg
n02381460_1904,A (Horse),train,trainA/n02381460_1904.jpg
n02381460_1905,A (Horse),train,trainA/n02381460_1905.jpg
n02381460_1909,A (Horse),train,trainA/n02381460_1909.jpg
n02381460_1915,A (Horse),train,trainA/n02381460_1915.jpg
n02381460_1916,A (Horse),train,trainA/n02381460_1916.jpg
n02381460_1920,B (Zebra),test,testB/n02381460_1920.jpg
n02381460_1921,A (Horse),train,trainA/n02381460_1921.jpg
n02381460_1937,A (Horse),train,trainA/n02381460_1937.jpg
n02381460_1939,A (Horse),train,trainA/n02381460_1939.jpg
n02381460_1941,A (Horse),train,trainA/n02381460_1941.jpg
n02381460_195,A (Horse),train,trainA/n02381460_195.jpg
n02381460_1952,A (Horse),train,trainA/n02381460_1952.jpg
n02381460_1957,A (Horse),train,trainA/n02381460_1957.jpg
n02381460_1959,A (Horse),train,trainA/n02381460_1959.jpg
n02381460_196,A (Horse),train,trainA/n02381460_196.jpg
n02381460_1973,A (Horse),train,trainA/n02381460_1973.jpg
n02381460_1978,A (Horse),train,trainA/n02381460_1978.jpg
n02381460_1979,A (Horse),train,trainA/n02381460_1979.jpg
n02381460_1981,A (Horse),train,trainA/n02381460_1981.jpg
n02381460_199,A (Horse),train,trainA/n02381460_199.jpg
n02381460_1991,A (Horse),train,trainA/n02381460_1991.jpg
n02381460_1992,A (Horse),train,trainA/n02381460_1992.jpg
n02381460_1995,A (Horse),train,trainA/n02381460_1995.jpg
n02381460_2,A (Horse),train,trainA/n02381460_2.jpg
n02381460_20,B (Zebra),test,testB/n02381460_20.jpg
n02381460_200,B (Zebra),test,testB/n02381460_200.jpg
n02381460_2012,A (Horse),train,trainA/n02381460_2012.jpg
n02381460_2014,A (Horse),train,trainA/n02381460_2014.jpg
n02381460_2016,A (Horse),train,trainA/n02381460_2016.jpg
n02381460_2019,A (Horse),train,trainA/n02381460_2019.jpg
n02381460_202,A (Horse),train,trainA/n02381460_202.jpg
n02381460_2023,A (Horse),train,trainA/n02381460_2023.jpg
n02381460_2027,A (Horse),train,trainA/n02381460_2027.jpg
n02381460_203,A (Horse),train,trainA/n02381460_203.jpg
n02381460_2032,A (Horse),train,trainA/n02381460_2032.jpg
n02381460_2043,A (Horse),train,trainA/n02381460_2043.jpg
n02381460_2045,A (Horse),train,trainA/n02381460_2045.jpg
n02381460_2048,A (Horse),train,trainA/n02381460_2048.jpg
n02381460_2049,A (Horse),train,trainA/n02381460_2049.jpg
n02381460_2050,B (Zebra),test,testB/n02381460_2050.jpg
n02381460_2056,A (Horse),train,trainA/n02381460_2056.jpg
n02381460_2061,A (Horse),train,trainA/n02381460_2061.jpg
n02381460_2083,A (Horse),train,trainA/n02381460_2083.jpg
n02381460_2085,A (Horse),train,trainA/n02381460_2085.jpg
n02381460_2089,A (Horse),train,trainA/n02381460_2089.jpg
n02381460_2091,A (Horse),train,trainA/n02381460_2091.jpg
n02381460_2093,A (Horse),train,trainA/n02381460_2093.jpg
n02381460_2100,B (Zebra),test,testB/n02381460_2100.jpg
n02381460_2103,A (Horse),train,trainA/n02381460_2103.jpg
n02381460_2109,A (Horse),train,trainA/n02381460_2109.jpg
n02381460_211,A (Horse),train,trainA/n02381460_211.jpg
n02381460_2116,A (Horse),train,trainA/n02381460_2116.jpg
n02381460_2120,B (Zebra),test,testB/n02381460_2120.jpg
n02381460_2139,A (Horse),train,trainA/n02381460_2139.jpg
n02381460_2141,A (Horse),train,trainA/n02381460_2141.jpg
n02381460_2149,A (Horse),train,trainA/n02381460_2149.jpg
n02381460_2150,B (Zebra),test,testB/n02381460_2150.jpg
n02381460_2152,A (Horse),train,trainA/n02381460_2152.jpg
n02381460_2177,A (Horse),train,trainA/n02381460_2177.jpg
n02381460_2179,A (Horse),train,trainA/n02381460_2179.jpg
n02381460_2181,A (Horse),train,trainA/n02381460_2181.jpg
n02381460_2192,A (Horse),train,trainA/n02381460_2192.jpg
n02381460_2198,A (Horse),train,trainA/n02381460_2198.jpg
n02381460_2217,A (Horse),train,trainA/n02381460_2217.jpg
n02381460_222,A (Horse),train,trainA/n02381460_222.jpg
n02381460_2222,A (Horse),train,trainA/n02381460_2222.jpg
n02381460_2223,A (Horse),train,trainA/n02381460_2223.jpg
n02381460_2225,A (Horse),train,trainA/n02381460_2225.jpg
n02381460_2226,A (Horse),train,trainA/n02381460_2226.jpg
n02381460_223,A (Horse),train,trainA/n02381460_223.jpg
n02381460_2245,A (Horse),train,trainA/n02381460_2245.jpg
n02381460_2259,A (Horse),train,trainA/n02381460_2259.jpg
n02381460_2261,A (Horse),train,trainA/n02381460_2261.jpg
n02381460_2268,A (Horse),train,trainA/n02381460_2268.jpg
n02381460_2269,A (Horse),train,trainA/n02381460_2269.jpg
n02381460_2275,A (Horse),train,trainA/n02381460_2275.jpg
n02381460_2276,A (Horse),train,trainA/n02381460_2276.jpg
n02381460_2280,B (Zebra),test,testB/n02381460_2280.jpg
n02381460_2282,A (Horse),train,trainA/n02381460_2282.jpg
n02381460_2289,A (Horse),train,trainA/n02381460_2289.jpg
n02381460_2294,A (Horse),train,trainA/n02381460_2294.jpg
n02381460_2305,A (Horse),train,trainA/n02381460_2305.jpg
n02381460_2306,A (Horse),train,trainA/n02381460_2306.jpg
n02381460_2317,A (Horse),train,trainA/n02381460_2317.jpg
n02381460_2325,A (Horse),train,trainA/n02381460_2325.jpg
n02381460_2327,A (Horse),train,trainA/n02381460_2327.jpg
n02381460_2339,A (Horse),train,trainA/n02381460_2339.jpg
n02381460_2341,A (Horse),train,trainA/n02381460_2341.jpg
n02381460_2349,A (Horse),train,trainA/n02381460_2349.jpg
n02381460_235,A (Horse),train,trainA/n02381460_235.jpg
n02381460_236,A (Horse),train,trainA/n02381460_236.jpg
n02381460_2366,A (Horse),train,trainA/n02381460_2366.jpg
n02381460_2371,A (Horse),train,trainA/n02381460_2371.jpg
n02381460_2374,A (Horse),train,trainA/n02381460_2374.jpg
n02381460_238,A (Horse),train,trainA/n02381460_238.jpg
n02381460_24,A (Horse),train,trainA/n02381460_24.jpg
n02381460_2402,A (Horse),train,trainA/n02381460_2402.jpg
n02381460_2403,A (Horse),train,trainA/n02381460_2403.jpg
n02381460_2411,A (Horse),train,trainA/n02381460_2411.jpg
n02381460_2412,A (Horse),train,trainA/n02381460_2412.jpg
n02381460_2414,A (Horse),train,trainA/n02381460_2414.jpg
n02381460_2419,A (Horse),train,trainA/n02381460_2419.jpg
n02381460_242,A (Horse),train,trainA/n02381460_242.jpg
n02381460_2421,A (Horse),train,trainA/n02381460_2421.jpg
n02381460_2425,A (Horse),train,trainA/n02381460_2425.jpg
n02381460_2433,A (Horse),train,trainA/n02381460_2433.jpg
n02381460_2444,A (Horse),train,trainA/n02381460_2444.jpg
n02381460_2446,A (Horse),train,trainA/n02381460_2446.jpg
n02381460_2449,A (Horse),train,trainA/n02381460_2449.jpg
n02381460_2460,B (Zebra),test,testB/n02381460_2460.jpg
n02381460_2462,A (Horse),train,trainA/n02381460_2462.jpg
n02381460_2465,A (Horse),train,trainA/n02381460_2465.jpg
n02381460_2468,A (Horse),train,trainA/n02381460_2468.jpg
n02381460_2474,A (Horse),train,trainA/n02381460_2474.jpg
n02381460_2476,A (Horse),train,trainA/n02381460_2476.jpg
n02381460_2484,A (Horse),train,trainA/n02381460_2484.jpg
n02381460_2488,A (Horse),train,trainA/n02381460_2488.jpg
n02381460_249,A (Horse),train,trainA/n02381460_249.jpg
n02381460_2496,A (Horse),train,trainA/n02381460_2496.jpg
n02381460_2499,A (Horse),train,trainA/n02381460_2499.jpg
n02381460_2503,A (Horse),train,trainA/n02381460_2503.jpg
n02381460_2509,A (Horse),train,trainA/n02381460_2509.jpg
n02381460_2514,A (Horse),train,trainA/n02381460_2514.jpg
n02381460_2517,A (Horse),train,trainA/n02381460_2517.jpg
n02381460_2525,A (Horse),train,trainA/n02381460_2525.jpg
n02381460_2528,A (Horse),train,trainA/n02381460_2528.jpg
n02381460_2539,A (Horse),train,trainA/n02381460_2539.jpg
n02381460_2540,B (Zebra),test,testB/n02381460_2540.jpg
n02381460_2548,A (Horse),train,trainA/n02381460_2548.jpg
n02381460_255,A (Horse),train,trainA/n02381460_255.jpg
n02381460_2552,A (Horse),train,trainA/n02381460_2552.jpg
n02381460_2555,A (Horse),train,trainA/n02381460_2555.jpg
n02381460_2563,A (Horse),train,trainA/n02381460_2563.jpg
n02381460_2564,A (Horse),train,trainA/n02381460_2564.jpg
n02381460_2565,A (Horse),train,trainA/n02381460_2565.jpg
n02381460_2572,A (Horse),train,trainA/n02381460_2572.jpg
n02381460_2575,A (Horse),train,trainA/n02381460_2575.jpg
n02381460_2578,A (Horse),train,trainA/n02381460_2578.jpg
n02381460_2580,B (Zebra),test,testB/n02381460_2580.jpg
n02381460_2581,A (Horse),train,trainA/n02381460_2581.jpg
n02381460_2594,A (Horse),train,trainA/n02381460_2594.jpg
n02381460_2596,A (Horse),train,trainA/n02381460_2596.jpg
n02381460_2598,A (Horse),train,trainA/n02381460_2598.jpg
n02381460_2605,A (Horse),train,trainA/n02381460_2605.jpg
n02381460_2612,A (Horse),train,trainA/n02381460_2612.jpg
n02381460_2615,A (Horse),train,trainA/n02381460_2615.jpg
n02381460_2627,A (Horse),train,trainA/n02381460_2627.jpg
n02381460_2632,A (Horse),train,trainA/n02381460_2632.jpg
n02381460_2635,A (Horse),train,trainA/n02381460_2635.jpg
n02381460_2643,A (Horse),train,trainA/n02381460_2643.jpg
n02381460_2649,A (Horse),train,trainA/n02381460_2649.jpg
n02381460_2650,B (Zebra),test,testB/n02381460_2650.jpg
n02381460_2684,A (Horse),train,trainA/n02381460_2684.jpg
n02381460_2685,A (Horse),train,trainA/n02381460_2685.jpg
n02381460_2695,A (Horse),train,trainA/n02381460_2695.jpg
n02381460_2699,A (Horse),train,trainA/n02381460_2699.jpg
n02381460_27,A (Horse),train,trainA/n02381460_27.jpg
n02381460_2703,A (Horse),train,trainA/n02381460_2703.jpg
n02381460_2706,A (Horse),train,trainA/n02381460_2706.jpg
n02381460_2708,A (Horse),train,trainA/n02381460_2708.jpg
n02381460_2710,B (Zebra),test,testB/n02381460_2710.jpg
n02381460_2714,A (Horse),train,trainA/n02381460_2714.jpg
n02381460_2726,A (Horse),train,trainA/n02381460_2726.jpg
n02381460_2732,A (Horse),train,trainA/n02381460_2732.jpg
n02381460_2736,A (Horse),train,trainA/n02381460_2736.jpg
n02381460_274,A (Horse),train,trainA/n02381460_274.jpg
n02381460_2741,A (Horse),train,trainA/n02381460_2741.jpg
n02381460_2751,A (Horse),train,trainA/n02381460_2751.jpg
n02381460_2753,A (Horse),train,trainA/n02381460_2753.jpg
n02381460_2754,A (Horse),train,trainA/n02381460_2754.jpg
n02381460_2755,A (Horse),train,trainA/n02381460_2755.jpg
n02381460_2758,A (Horse),train,trainA/n02381460_2758.jpg
n02381460_276,A (Horse),train,trainA/n02381460_276.jpg
n02381460_2779,A (Horse),train,trainA/n02381460_2779.jpg
n02381460_278,A (Horse),train,trainA/n02381460_278.jpg
n02381460_2783,A (Horse),train,trainA/n02381460_2783.jpg
n02381460_2788,A (Horse),train,trainA/n02381460_2788.jpg
n02381460_2793,A (Horse),train,trainA/n02381460_2793.jpg
n02381460_2795,A (Horse),train,trainA/n02381460_2795.jpg
n02381460_2796,A (Horse),train,trainA/n02381460_2796.jpg
n02381460_2799,A (Horse),train,trainA/n02381460_2799.jpg
n02381460_2802,A (Horse),train,trainA/n02381460_2802.jpg
n02381460_2806,A (Horse),train,trainA/n02381460_2806.jpg
n02381460_2811,A (Horse),train,trainA/n02381460_2811.jpg
n02381460_2822,A (Horse),train,trainA/n02381460_2822.jpg
n02381460_2834,A (Horse),train,trainA/n02381460_2834.jpg
n02381460_2835,A (Horse),train,trainA/n02381460_2835.jpg
n02381460_2848,A (Horse),train,trainA/n02381460_2848.jpg
n02381460_285,A (Horse),train,trainA/n02381460_285.jpg
n02381460_2870,B (Zebra),test,testB/n02381460_2870.jpg
n02381460_2872,A (Horse),train,trainA/n02381460_2872.jpg
n02381460_2878,A (Horse),train,trainA/n02381460_2878.jpg
n02381460_2879,A (Horse),train,trainA/n02381460_2879.jpg
n02381460_2883,A (Horse),train,trainA/n02381460_2883.jpg
n02381460_2890,B (Zebra),test,testB/n02381460_2890.jpg
n02381460_2921,A (Horse),train,trainA/n02381460_2921.jpg
